system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
49-cet,49-cet_stis-ren,images/49-cet/49-cet_stis-ren.png,Ren,2023,"A&A 672, A114",EDP Sciences,hybrid,2302.04273,2023A&A...672A.114R,arxiv-preprint-figure,,not-needed
49-cet,49-cet_alma2017,images/49-cet/49-cet_alma2017.png,Hughes,2017,"ApJ 839, 86",AAS/IOP,green-oa,1704.01972,2017ApJ...839...86H,arxiv-preprint-figure,,not-needed
49-cet,49-cet_alice-f110w,images/49-cet/49-cet_alice-f110w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
49-cet,49-cet_nicmos-choquet2017,images/49-cet/49-cet_nicmos-choquet2017.png,Choquet,2017,"ApJL 834, L12",AAS/IOP,green-oa,1612.07320,2017ApJ...834L..12C,archive-product,,not-needed
49-cet,49-cet_sphere-choquet2017,images/49-cet/49-cet_sphere-choquet2017.png,Choquet,2017,"ApJL 834, L12",AAS/IOP,green-oa,1612.07320,2017ApJ...834L..12C,arxiv-preprint-figure,,not-needed
49-cet,49-cet_alma-co2019,images/49-cet/49-cet_alma-co2019.png,Moor,2019,"ApJ 884, 108",AAS/IOP,green-oa,1908.09685,2019ApJ...884..108M,arxiv-preprint-figure,,not-needed
51-eri,51-eri_gpi2015,images/51-eri/51-eri_gpi2015.png,Macintosh,2015,"Science 350, 64",AAAS,restrictive,1508.03084,2015Sci...350...64M,arxiv-preprint-figure,Y,not-needed
51-eri,51-eri_jwst2025,images/51-eri/51-eri_jwst2025.png,Balmer,2025,"AJ 169, 209",AAS/IOP,green-oa,2503.13608,2025AJ....169..209B,arxiv-preprint-figure,,not-needed
51-eri,51-eri_sphere2017_y,images/51-eri/51-eri_sphere2017_y.png,Samland,2017,A&A,EDP Sciences,hybrid,1704.02987,2017A&A...603A..57S,arxiv-preprint-figure,,not-needed
51-eri,51-eri_sphere2017_j,images/51-eri/51-eri_sphere2017_j.png,Samland,2017,A&A,EDP Sciences,hybrid,1704.02987,2017A&A...603A..57S,arxiv-preprint-figure,,not-needed
